country,distributor,customer,product_gmid,unified_price,resale_price,tender_price,special_resale,special_tender,supply_price,promotion
ET,distributor,customer,645820,0,0,0,0,0,0,non-promoted
ET,distributor,customer,645818,0,0,0,0,0,0,non-promoted
ET,distributor,customer,632896,0,0,0,0,0,0,non-promoted
ET,distributor,customer,645819,0,0,0,0,0,0,non-promoted
ET,distributor,customer,321233,0,0,0,0,0,0,non-promoted
ET,distributor,customer,307013,0,0,0,0,0,0,non-promoted
ET,distributor,customer,475652,0,0,0,0,0,0,non-promoted
ET,distributor,customer,475862,0,0,0,0,0,0,non-promoted
ET,distributor,customer,380567,0,0,0,0,0,0,non-promoted
ET,distributor,customer,539185,0,0,0,0,0,0,non-promoted
ET,distributor,customer,539183,0,0,0,0,0,0,non-promoted
ET,distributor,customer,539181,0,0,0,0,0,0,non-promoted
ET,distributor,customer,539182,0,0,0,0,0,0,non-promoted
ET,distributor,customer,196681,0,0,0,0,0,0,non-promoted
ET,distributor,customer,514930,0,0,0,0,0,0,non-promoted
ET,distributor,customer,515056,0,0,0,0,0,0,non-promoted
ET,distributor,customer,373881,0,0,0,0,0,0,non-promoted
ET,distributor,customer,373877,0,0,0,0,0,0,non-promoted
ET,distributor,customer,373878,0,0,0,0,0,0,non-promoted
ET,distributor,customer,338356,0,0,0,0,0,0,non-promoted
ET,distributor,customer,373879,0,0,0,0,0,0,non-promoted
ET,distributor,customer,341781,0,0,0,0,0,0,non-promoted
ET,distributor,customer,306725,0,0,0,0,0,0,non-promoted
ET,distributor,customer,373875,0,0,0,0,0,0,non-promoted
ET,distributor,customer,213860,0,0,0,0,0,0,non-promoted
ET,distributor,customer,1,0,0,0,0,0,0,non-promoted
ET,distributor,customer,373876,0,0,0,0,0,0,non-promoted
ET,distributor,customer,222,0,0,0,0,0,0,non-promoted
ET,distributor,customer,477045,0,0,0,0,0,0,non-promoted
ET,distributor,customer,475987,0,0,0,0,0,0,non-promoted
ET,distributor,customer,475988,0,0,0,0,0,0,non-promoted
ET,distributor,customer,698116,0,0,0,0,0,0,non-promoted
ET,distributor,customer,679090,0,0,0,0,0,0,non-promoted
ET,distributor,customer,654229,0,0,0,0,0,0,non-promoted
ET,distributor,customer,651737,0,0,0,0,0,0,non-promoted
ET,distributor,customer,352016,0,0,0,0,0,0,non-promoted
ET,distributor,customer,476959,0,0,0,0,0,0,non-promoted
ET,distributor,customer,476936,0,0,0,0,0,0,non-promoted
ET,distributor,customer,652574,0,0,0,0,0,0,non-promoted
ET,distributor,customer,653030,0,0,0,0,0,0,non-promoted
ET,distributor,customer,651969,0,0,0,0,0,0,non-promoted
ET,distributor,customer,655022,0,0,0,0,0,0,non-promoted
ET,distributor,customer,655023,0,0,0,0,0,0,non-promoted
ET,distributor,customer,655024,0,0,0,0,0,0,non-promoted
ET,distributor,customer,655025,0,0,0,0,0,0,non-promoted
ET,distributor,customer,554510,0,0,0,0,0,0,non-promoted
ET,distributor,customer,371243,0,0,0,0,0,0,non-promoted
ET,distributor,customer,693896,0,0,0,0,0,0,non-promoted
ET,distributor,customer,407096,0,0,0,0,0,0,non-promoted
ET,distributor,customer,370351,0,0,0,0,0,0,non-promoted
ET,distributor,customer,618677,0,0,0,0,0,0,non-promoted
ET,distributor,customer,641849,0,0,0,0,0,0,non-promoted
ET,distributor,customer,728129,0,0,0,0,0,0,non-promoted
ET,distributor,customer,649635,0,0,0,0,0,0,non-promoted
ET,distributor,customer,730439,0,0,0,0,0,0,non-promoted
ET,distributor,customer,643215,0,0,0,0,0,0,non-promoted
ET,distributor,customer,592593,0,0,0,0,0,0,non-promoted
ET,distributor,customer,671538,0,0,0,0,0,0,non-promoted
ET,distributor,customer,664051,0,0,0,0,0,0,non-promoted
ET,distributor,customer,67294,0,0,0,0,0,0,non-promoted
ET,distributor,customer,645817,0,0,0,0,0,0,non-promoted
ET,distributor,customer,645815,0,0,0,0,0,0,non-promoted
ET,distributor,customer,476963,0,0,0,0,0,0,non-promoted
ET,distributor,customer,476006,0,0,0,0,0,0,non-promoted
ET,distributor,customer,476009,0,0,0,0,0,0,non-promoted
ET,distributor,customer,475271,0,0,0,0,0,0,non-promoted
ET,distributor,customer,477034,0,0,0,0,0,0,non-promoted
ET,distributor,customer,477037,0,0,0,0,0,0,non-promoted
ET,distributor,customer,477015,0,0,0,0,0,0,non-promoted
ET,distributor,customer,476043,0,0,0,0,0,0,non-promoted
ET,distributor,customer,390465,0,0,0,0,0,0,non-promoted
ET,distributor,customer,390470,0,0,0,0,0,0,non-promoted
ET,distributor,customer,264456,0,0,0,0,0,0,non-promoted
ET,distributor,customer,476933,0,0,0,0,0,0,non-promoted
ET,distributor,customer,516219,0,0,0,0,0,0,non-promoted
ET,distributor,customer,241634,0,0,0,0,0,0,non-promoted
ET,distributor,customer,615902,0,0,0,0,0,0,non-promoted
ET,distributor,customer,615926,0,0,0,0,0,0,non-promoted
ET,distributor,customer,518946,0,0,0,0,0,0,non-promoted
ET,distributor,customer,505579,0,0,0,0,0,0,non-promoted
ET,distributor,customer,292174,0,0,0,0,0,0,non-promoted
ET,distributor,customer,506742,0,0,0,0,0,0,non-promoted
ET,distributor,customer,507364,0,0,0,0,0,0,non-promoted
ET,distributor,customer,436418,0,0,0,0,0,0,non-promoted
ET,distributor,customer,506704,0,0,0,0,0,0,non-promoted
ET,distributor,customer,506739,0,0,0,0,0,0,non-promoted
ET,distributor,customer,653084,0,0,0,0,0,0,non-promoted
ET,distributor,customer,651777,0,0,0,0,0,0,non-promoted
ET,distributor,customer,660193,0,0,0,0,0,0,non-promoted
ET,distributor,customer,287552,0,0,0,0,0,0,non-promoted
ET,distributor,customer,287550,0,0,0,0,0,0,non-promoted
ET,distributor,customer,508116,0,0,0,0,0,0,non-promoted
ET,distributor,customer,289138,0,0,0,0,0,0,non-promoted
ET,distributor,customer,287553,0,0,0,0,0,0,non-promoted
ET,distributor,customer,298689,0,0,0,0,0,0,non-promoted
ET,distributor,customer,374872,0,0,0,0,0,0,non-promoted
ET,distributor,customer,298693,0,0,0,0,0,0,non-promoted
ET,distributor,customer,298691,0,0,0,0,0,0,non-promoted
ET,distributor,customer,544062,0,0,0,0,0,0,non-promoted
ET,distributor,customer,258746,0,0,0,0,0,0,non-promoted
ET,distributor,customer,660724,0,0,0,0,0,0,non-promoted
ET,distributor,customer,660728,0,0,0,0,0,0,non-promoted
ET,distributor,customer,660727,0,0,0,0,0,0,non-promoted
ET,distributor,customer,635227,0,0,0,0,0,0,non-promoted
ET,distributor,customer,275807,0,0,0,0,0,0,non-promoted
ET,distributor,customer,213847,0,0,0,0,0,0,non-promoted
ET,distributor,customer,99114,0,0,0,0,0,0,non-promoted
ET,distributor,customer,312451,0,0,0,0,0,0,non-promoted
ET,distributor,customer,476998,0,0,0,0,0,0,non-promoted
ET,distributor,customer,283389,0,0,0,0,0,0,non-promoted
ET,distributor,customer,636825,0,0,0,0,0,0,non-promoted
ET,distributor,customer,692141,0,0,0,0,0,0,non-promoted
ET,distributor,customer,263980,0,0,0,0,0,0,non-promoted
ET,distributor,customer,54423,0,0,0,0,0,0,non-promoted
ET,distributor,customer,310637,0,0,0,0,0,0,non-promoted
ET,distributor,customer,694156,0,0,0,0,0,0,non-promoted
ET,distributor,customer,413689,0,0,0,0,0,0,non-promoted
ET,distributor,customer,508182,0,0,0,0,0,0,non-promoted
ET,distributor,customer,340973,0,0,0,0,0,0,non-promoted
ET,distributor,customer,670688,0,0,0,0,0,0,non-promoted
ET,distributor,customer,213711,0,0,0,0,0,0,non-promoted
ET,distributor,customer,481300,0,0,0,0,0,0,non-promoted
ET,distributor,customer,627595,0,0,0,0,0,0,non-promoted
ET,distributor,customer,627597,0,0,0,0,0,0,non-promoted
ET,distributor,customer,627667,0,0,0,0,0,0,non-promoted
ET,distributor,customer,282348,0,0,0,0,0,0,non-promoted
ET,distributor,customer,209742,0,0,0,0,0,0,non-promoted
ET,distributor,customer,633072,0,0,0,0,0,0,non-promoted
ET,distributor,customer,639628,0,0,0,0,0,0,non-promoted
ET,distributor,customer,612011,0,0,0,0,0,0,non-promoted
ET,distributor,customer,477044,0,0,0,0,0,0,non-promoted
ET,distributor,customer,aa001,0,0,0,0,0,0,non-promoted
ET,distributor,customer,196680,0,0,0,0,0,0,non-promoted
ET,distributor,customer,90099,0,0,0,0,0,0,non-promoted
ET,distributor,customer,476714,0,0,0,0,0,0,non-promoted
ET,distributor,customer,660198,0,0,0,0,0,0,non-promoted
ET,distributor,customer,475989,0,0,0,0,0,0,non-promoted
ET,distributor,customer,295768,0,0,0,0,0,0,non-promoted
ET,distributor,customer,493999,0,0,0,0,0,0,non-promoted
ET,distributor,customer,241783,0,0,0,0,0,0,non-promoted
ET,distributor,customer,245298,0,0,0,0,0,0,non-promoted
ET,distributor,customer,141662,0,0,0,0,0,0,non-promoted
ET,distributor,customer,296593,0,0,0,0,0,0,non-promoted
ET,distributor,customer,671563,0,0,0,0,0,0,non-promoted
ET,distributor,customer,671568,0,0,0,0,0,0,non-promoted
ET,distributor,customer,476710,0,0,0,0,0,0,non-promoted
ET,distributor,customer,120917,0,0,0,0,0,0,non-promoted
ET,distributor,customer,476518,0,0,0,0,0,0,non-promoted
ET,distributor,customer,476989,0,0,0,0,0,0,non-promoted
ET,distributor,customer,476985,0,0,0,0,0,0,non-promoted
ET,distributor,customer,476716,0,0,0,0,0,0,non-promoted
ET,distributor,customer,476942,0,0,0,0,0,0,non-promoted
ET,distributor,customer,476996,0,0,0,0,0,0,non-promoted
ET,distributor,customer,476997,0,0,0,0,0,0,non-promoted
ET,distributor,customer,476715,0,0,0,0,0,0,non-promoted
ET,distributor,customer,323469,0,0,0,0,0,0,non-promoted
ET,distributor,customer,323468,0,0,0,0,0,0,non-promoted
ET,distributor,customer,476958,0,0,0,0,0,0,non-promoted
ET,distributor,customer,54430,0,0,0,0,0,0,non-promoted
ET,distributor,customer,494006,0,0,0,0,0,0,non-promoted
ET,distributor,customer,54431,0,0,0,0,0,0,non-promoted
ET,distributor,customer,493978,0,0,0,0,0,0,non-promoted
ET,distributor,customer,223651,0,0,0,0,0,0,non-promoted
ET,distributor,customer,476960,0,0,0,0,0,0,non-promoted
ET,distributor,customer,477012,0,0,0,0,0,0,non-promoted
ET,distributor,customer,651772,0,0,0,0,0,0,non-promoted
ET,distributor,customer,653312,0,0,0,0,0,0,non-promoted
ET,distributor,customer,696080,0,0,0,0,0,0,non-promoted
ET,distributor,customer,269210,0,0,0,0,0,0,non-promoted
ET,distributor,customer,541862,0,0,0,0,0,0,non-promoted
ET,distributor,customer,627060,0,0,0,0,0,0,non-promoted
ET,distributor,customer,12131212,0,0,0,0,0,0,non-promoted
ET,distributor,customer,627546,0,0,0,0,0,0,non-promoted
ET,distributor,customer,632892,0,0,0,0,0,0,non-promoted
ET,distributor,customer,261610,0,0,0,0,0,0,non-promoted
ET,distributor,customer,551042,0,0,0,0,0,0,non-promoted
ET,distributor,customer,247831,0,0,0,0,0,0,non-promoted
ET,distributor,customer,247832,0,0,0,0,0,0,non-promoted
ET,distributor,customer,305481,0,0,0,0,0,0,non-promoted
ET,distributor,customer,440221,0,0,0,0,0,0,non-promoted
ET,distributor,customer,405018,0,0,0,0,0,0,non-promoted
ET,distributor,customer,405039,0,0,0,0,0,0,non-promoted
ET,distributor,customer,405069,0,0,0,0,0,0,non-promoted
ET,distributor,customer,479387,0,0,0,0,0,0,non-promoted
ET,distributor,customer,479530,0,0,0,0,0,0,non-promoted
ET,distributor,customer,426259,0,0,0,0,0,0,non-promoted
ET,distributor,customer,223652,0,0,0,0,0,0,non-promoted
ET,distributor,customer,261608,0,0,0,0,0,0,non-promoted
ET,distributor,customer,373882,0,0,0,0,0,0,non-promoted
ET,distributor,customer,373880,0,0,0,0,0,0,non-promoted
ET,distributor,customer,476931,0,0,0,0,0,0,non-promoted
ET,distributor,customer,475994,0,0,0,0,0,0,non-promoted
ET,distributor,customer,476950,0,0,0,0,0,0,non-promoted
ET,distributor,customer,476008,0,0,0,0,0,0,non-promoted
ET,distributor,customer,476029,0,0,0,0,0,0,non-promoted
ET,distributor,customer,476194,0,0,0,0,0,0,non-promoted
ET,distributor,customer,223381,0,0,0,0,0,0,non-promoted
ET,distributor,customer,481580,0,0,0,0,0,0,non-promoted
ET,distributor,customer,357266,0,0,0,0,0,0,non-promoted
ET,distributor,customer,338199,0,0,0,0,0,0,non-promoted
ET,distributor,customer,195442,0,0,0,0,0,0,non-promoted
ET,distributor,customer,476984,0,0,0,0,0,0,non-promoted
ET,distributor,customer,477825,0,0,0,0,0,0,non-promoted
ET,distributor,customer,477023,0,0,0,0,0,0,non-promoted
ET,distributor,customer,280449,0,0,0,0,0,0,non-promoted
ET,distributor,customer,477027,0,0,0,0,0,0,non-promoted
ET,distributor,customer,476835,0,0,0,0,0,0,non-promoted
ET,distributor,customer,475649,0,0,0,0,0,0,non-promoted
ET,distributor,customer,475983,0,0,0,0,0,0,non-promoted
ET,distributor,customer,338355,0,0,0,0,0,0,non-promoted
ET,distributor,customer,338357,0,0,0,0,0,0,non-promoted
ET,distributor,customer,475991,0,0,0,0,0,0,non-promoted
ET,distributor,customer,312920,0,0,0,0,0,0,non-promoted
ET,distributor,customer,477047,0,0,0,0,0,0,non-promoted
ET,distributor,customer,306730,0,0,0,0,0,0,non-promoted
ET,distributor,customer,306728,0,0,0,0,0,0,non-promoted
ET,distributor,customer,306732,0,0,0,0,0,0,non-promoted
ET,distributor,customer,341783,0,0,0,0,0,0,non-promoted
ET,distributor,customer,554523,0,0,0,0,0,0,non-promoted
ET,distributor,customer,726651,0,0,0,0,0,0,non-promoted
ET,distributor,customer,477020,0,0,0,0,0,0,non-promoted
ET,distributor,customer,477019,0,0,0,0,0,0,non-promoted
ET,distributor,customer,477018,0,0,0,0,0,0,non-promoted
ET,distributor,customer,476940,0,0,0,0,0,0,non-promoted
ET,distributor,customer,287551,0,0,0,0,0,0,non-promoted
ET,distributor,customer,476980,0,0,0,0,0,0,non-promoted
ET,distributor,customer,476986,0,0,0,0,0,0,non-promoted
ET,distributor,customer,187750,0,0,0,0,0,0,non-promoted
ET,distributor,customer,323104,0,0,0,0,0,0,non-promoted
ET,distributor,customer,323103,0,0,0,0,0,0,non-promoted
ET,distributor,customer,346663,0,0,0,0,0,0,non-promoted
ET,distributor,customer,481359,0,0,0,0,0,0,non-promoted
ET,distributor,customer,209132,0,0,0,0,0,0,non-promoted
ET,distributor,customer,245863,0,0,0,0,0,0,non-promoted
ET,distributor,customer,477005,0,0,0,0,0,0,non-promoted
ET,distributor,customer,213866,0,0,0,0,0,0,non-promoted
ET,distributor,customer,476947,0,0,0,0,0,0,non-promoted
